epoch,train_accuracy,val_accuracy,train_loss,val_loss,optimization_seconds,train_eval_seconds,val_eval_seconds,cumulative_train_presentations
1,0.24199288256227758,0.24166666666666667,1.8691474772008712,1.89927183787028,1.5173910000003161,0.6084974999998849,0.17390130000012505,562
2,0.3505338078291815,0.35833333333333334,1.7706130628484,1.817511749267578,1.622643600000174,0.6501419999999598,0.13262740000027406,1124
3,0.42704626334519574,0.4083333333333333,1.6761407614602737,1.7586591402689615,1.5781145999999353,0.6473151000000144,0.16393120000020645,1686
4,0.5320284697508897,0.5083333333333333,1.5002147090816838,1.5821884473164876,1.6625426999999036,0.6414353999998639,0.14116789999980028,2248
5,0.5249110320284698,0.475,1.390345176343816,1.506911245981852,1.5279868999996324,0.6271738999998888,0.1305723999998918,2810
6,0.6476868327402135,0.625,1.294050165766923,1.4415555953979493,1.5228724999997212,0.5970159999997122,0.12631379999993442,3372
7,0.6174377224199288,0.6,1.1995504453937353,1.3554908434549968,1.5136842000001707,0.5883597000001828,0.12735879999991084,3934
8,0.6565836298932385,0.6,1.1227067221101916,1.2759792645772299,1.5198140999996212,0.6080998000002182,0.12459549999994124,4496
9,0.7046263345195729,0.65,1.0146976756031403,1.2155301094055175,1.4865713999997752,0.592551000000185,0.12896619999992254,5058
10,0.6654804270462633,0.6166666666666667,0.9943234267183895,1.2386584281921387,1.4714764000000287,0.5860130999999456,0.12905569999975341,5620
11,0.7419928825622776,0.6583333333333333,0.9355286703415189,1.1745092550913492,1.584085899999991,0.634028799999669,0.12465670000028695,6182
12,0.7366548042704626,0.6916666666666667,0.8782806939501779,1.1042095025380452,1.5246406999999635,0.5974425000003976,0.12290010000015172,6744
13,0.6797153024911032,0.5916666666666667,0.9278885240656626,1.1094576835632324,1.5060187999997652,0.6225335999997696,0.12400509999997666,7306
14,0.7384341637010676,0.65,0.8596660403594427,1.1212493896484375,1.4921967999998742,0.6237363000000187,0.13522499999999127,7868
